NUM_AGENTS,PercentSpaceEmpty,|,ADG_Time,SAGE_TIME,FORTED_TIME,MAGE_TIME,|,ADG_Comms,SAGE_Comms,FORTED_Comms,MAGE_Comms
10,0.375,|,0.02117915391921997,0.0015961861610412598,0.0013312697410583496,0.001851067543029785,|,31.1,31.1,19.21,17.33
20,0.4444444444444444,|,0.123355872631073,0.0032254838943481445,0.002198426723480225,0.0045118570327758786,|,154.81,154.81,66.55,61.83
30,0.3877551020408163,|,0.5192261576652527,0.0070756149291992185,0.0051084613800048825,0.010486345291137695,|,326.59,326.59,130.92,119.55
40,0.375,|,1.41645676612854,0.0169685959815979,0.015318470001220703,0.02707284688949585,|,641.89,641.89,219.45,201.59
50,0.3827160493827161,|,2.979217002391815,0.01834641456604004,0.012364695072174072,0.026368029117584228,|,1047.45,1047.45,321.47,293.58
60,0.4,|,5.333307499885559,0.03583266496658325,0.018468551635742188,0.04235005617141724,|,1816.65,1816.65,461.3,432.72
70,0.30000000000000004,|,8.668441340923309,0.0322722864151001,0.027385270595550536,0.05544881105422974,|,2421.08,2421.08,588.85,549.74
80,0.33884297520661155,|,13.480063037872315,0.04785568952560425,0.030289907455444336,0.06000231027603149,|,3122.39,3122.39,729.84,679.45
90,0.375,|,20.025105793476104,0.06061251163482666,0.04042492628097534,0.07602820634841918,|,3797.58,3797.58,866.01,802.49
100,0.3055555555555556,|,26.84338319540024,0.061892497539520266,0.04193042516708374,0.08940438032150269,|,5191.77,5191.77,1061.64,994.93
110,0.34911242603550297,|,39.43623971939087,0.07585947751998902,0.056069622039794924,0.11070773363113404,|,6129.95,6129.95,1235.76,1152.0
120,0.3877551020408163,|,50.64179133892059,0.09234968423843384,0.0503064751625061,0.1164641809463501,|,6773.27,6773.27,1370.05,1268.79
130,0.33673469387755106,|,63.11610970973968,0.10645736694335937,0.05535445928573608,0.13468417167663574,|,8734.36,8734.36,1609.05,1505.91
140,0.37777777777777777,|,84.0548555636406,0.11138634443283081,0.0782874870300293,0.15492017269134523,|,9605.94,9605.94,1770.82,1646.33
150,0.33333333333333337,|,102.59823089361191,0.13400570392608643,0.08498057126998901,0.1742318391799927,|,11794.08,11794.08,2015.92,1890.59
160,0.375,|,123.19047813653945,0.14593796968460082,0.08858425855636597,0.1948324203491211,|,12707.84,12707.84,2193.73,2044.93
170,0.3359375,|,152.17786467313766,0.16536969423294068,0.1010365891456604,0.2217646074295044,|,15304.9,15304.9,2466.32,2318.95
180,0.3771626297577855,|,189.19773860931397,0.17607515335083007,0.12124785184860229,0.24840644836425782,|,16378.22,16378.22,2656.01,2478.53
190,0.342560553633218,|,209.06324181318283,0.1994496154785156,0.12938398838043214,0.2696649694442749,|,19220.18,19220.18,2938.76,2761.03
200,0.3079584775086506,|,259.96072237730027,0.2137925386428833,0.14881967306137084,0.3124056148529053,|,19967.87,19967.87,3106.06,2901.23
210,0.35185185185185186,|,295.42870054721834,0.22598983764648437,0.1637657880783081,0.3256554675102234,|,23466.9,23466.9,3437.33,3229.29
220,0.32098765432098764,|,337.8482742381096,0.25994335889816284,0.15699592351913452,0.37289889097213746,|,24186.53,24186.53,3620.5,3378.9
230,0.3628808864265928,|,390.7914791178703,0.2685362648963928,0.18965178728103638,0.3832468271255493,|,28017.27,28017.27,3974.31,3730.54
240,0.33518005540166207,|,434.7896090722084,0.28524514675140383,0.21149132490158082,0.4205948257446289,|,32040.04,32040.04,4305.63,4063.36
250,0.30747922437673125,|,519.4596798443795,0.3025738072395325,0.22146844863891602,0.48043036460876465,|,32599.26,32599.26,4486.91,4206.54
260,0.35,|,575.4906239175797,0.3544681692123413,0.19927482128143312,0.5330644774436951,|,37348.35,37348.35,4876.97,4595.6
270,0.32499999999999996,|,640.2863277244568,0.37567285537719725,0.2103092384338379,0.567665011882782,|,38068.74,38068.74,5080.53,4756.58
280,0.30000000000000004,|,713.567453815937,0.4007241630554199,0.20320618391036988,0.6070885419845581,|,42697.87,42697.87,5442.39,5118.37
290,0.3424036281179138,|,813.9521033883095,0.4444907832145691,0.22311238765716554,0.6508084750175476,|,47933.56,47933.56,5842.29,5520.9
300,0.3197278911564626,|,896.0984543442726,0.4550362324714661,0.23267614841461182,0.6818324041366577,|,47920.26,47920.26,6007.61,5641.64
310,0.359504132231405,|,998.3775700068473,0.4728945064544678,0.2857535028457642,0.7068053483963013,|,52834.99,52834.99,6389.43,6025.56
320,0.33884297520661155,|,1115.5888287878035,0.4971406364440918,0.3169678068161011,0.7754270529747009,|,52673.97,52673.97,6553.8,6136.53
330,0.31818181818181823,|,1196.0527863621712,0.5304100322723388,0.3281456446647644,0.8096180176734924,|,58420.68,58420.68,6960.32,6546.27
340,0.35727788279773154,|,1335.2782240986824,0.566009783744812,0.3500461459159851,0.8683313703536988,|,64610.57,64610.57,7425.48,7008.79
350,0.3383742911153119,|,1422.2201737952232,0.5804515600204467,0.3609147644042969,0.9103133845329284,|,64702.12,64702.12,7618.95,7150.49
360,0.3194706994328923,|,1584.7246181225776,0.6104112124443054,0.38102446794509887,0.9832979583740235,|,70920.67,70920.67,8079.72,7606.47
370,0.3005671077504726,|,1719.6950933670998,0.6416111946105957,0.39955109119415283,1.021362805366516,|,77740.64,77740.64,8532.3,8068.22
380,0.3402777777777778,|,1784.9627547430991,0.6512506341934204,0.40538237571716307,1.064248535633087,|,76337.74,76337.74,8632.67,8108.41
390,0.32291666666666663,|,1998.2652548122405,0.7001509070396423,0.42734395027160643,1.1351942896842957,|,83879.61,83879.61,9176.61,8650.38
400,0.3055555555555556,|,2190.6095000505447,0.7541297698020935,0.4664148783683777,1.2333629608154297,|,91649.78,91649.78,9694.35,9168.36
410,0.344,|,2341.303983373642,0.7653531074523926,0.46903433799743655,1.2646132874488831,|,89903.89,89903.89,9766.89,9182.63
420,0.32799999999999996,|,2565.1270400571825,0.7936924362182617,0.5086990451812744,1.3489738368988038,|,96771.45,96771.45,10273.92,9680.54
430,0.31200000000000006,|,2809.8139981555937,0.848863844871521,0.5602666831016541,1.438990936279297,|,107120.17,107120.17,10908.44,10311.86
440,0.34911242603550297,|,2861.522496242523,0.8553159594535827,0.5577617454528808,1.473779935836792,|,103450.92,103450.92,10924.14,10272.68
450,0.334319526627219,|,3073.1047981214524,0.8957037973403931,0.5684546828269958,1.560794744491577,|,110332.54,110332.54,11319.12,10671.61
460,0.3195266272189349,|,3387.7517695450783,0.9551194906234741,0.5993091416358948,1.6640930724143983,|,120124.71,120124.71,12022.71,11367.99
470,0.3047337278106509,|,3563.0741548657415,1.0086476445198058,0.6123062348365784,1.7432341766357422,|,129362.66,129362.66,12520.83,11873.23
480,0.34156378600823045,|,3867.707234787941,1.0637757563591004,0.6240091466903687,1.867665066719055,|,127686.57,127686.57,12754.41,12023.53
490,0.3278463648834019,|,3717.204238879681,1.0699621939659119,0.6141881823539734,1.840384180545807,|,131549.82,131549.82,12832.53,12126.02
500,0.31412894375857336,|,3893.1228990125655,1.1251630592346191,0.6352360033988953,1.9100394248962402,|,141523.62,141523.62,13422.92,12715.78
510,0.3004115226337448,|,4302.679549958706,1.1752905774116515,0.6516022253036499,2.0342003083229065,|,136886.72,136886.72,13450.86,12664.19
520,0.33673469387755106,|,4463.727887301445,1.2202167701721192,0.6566368174552918,2.0886887431144716,|,148327.08,148327.08,14098.37,13310.11
530,0.32397959183673475,|,4703.7006503582,1.2411478638648987,0.6778208017349243,2.1444924902915954,|,156982.61,156982.61,14567.78,13782.74
540,0.3112244897959183,|,4977.778219206333,1.31295902967453,0.707861795425415,2.259169890880585,|,167997.25,167997.25,15167.81,14384.51
550,0.34601664684898925,|,5305.354303629399,1.322151095867157,0.7452022171020508,2.3541223120689394,|,160993.75,160993.75,15137.7,14283.1
560,0.3341260404280618,|,5697.314320628643,1.385182650089264,0.7898349499702454,2.464783308506012,|,173058.03,173058.03,15782.79,14922.45
570,0.3222354340071344,|,5854.200059194565,1.415911407470703,0.818255500793457,2.5504192423820498,|,184441.12,184441.12,16437.39,15580.63
580,0.31034482758620685,|,6261.79266096592,1.443891613483429,0.8746672439575195,2.6734558939933777,|,178561.72,178561.72,16453.16,15511.19
590,0.34444444444444444,|,6597.012732958794,1.5265009260177613,0.9277504849433899,2.8584290242195127,|,191900.64,191900.64,17231.41,16278.22
600,0.33333333333333337,|,7086.29217502594,1.56104243516922,0.9510421681404114,2.939752597808838,|,202926.5,202926.5,17834.88,16888.82
610,0.3222222222222222,|,7307.5397156190875,1.6046654558181763,0.9758840584754944,3.0162556958198548,|,214054.95,214054.95,18345.1,17401.78
620,0.3111111111111111,|,7677.782736256123,1.6567613434791566,1.0156668877601625,3.2238293170928953,|,209900.08,209900.08,18494.03,17451.1
630,0.30000000000000004,|,8066.91892884016,1.6915504622459412,1.0270783758163453,3.3137784099578855,|,220326.55,220326.55,19023.89,17988.13
640,0.3340270551508845,|,8592.857917191983,1.7489101696014404,1.0693894410133362,3.70317521572113,|,230439.77,230439.77,19563.13,18533.57
650,0.32362122788761705,|,9039.038553533554,1.8012125182151795,1.108150179386139,3.9395430493354797,|,244340.01,244340.01,20309.69,19280.28
660,0.3132154006243496,|,9178.06721313238,1.8250638437271118,1.1433706760406495,3.9684693884849547,|,238594.22,238594.22,20432.5,19299.72
670,0.30280957336108216,|,9843.600726361276,1.915832874774933,1.2009816098213195,4.381561362743378,|,252827.05,252827.05,21234.03,20104.95
680,0.3359375,|,10486.49504692316,1.503891236782074,0.960550582408905,4.009239914417267,|,270120.22,270120.22,22102.64,20962.63
690,0.326171875,|,11190.652965359688,1.5762987112998963,0.9996334505081177,4.583093850612641,|,281178.57,281178.57,22734.34,21604.88
700,0.31640625,|,11617.741569190026,1.622159516811371,1.0275256872177123,4.814673664569855,|,277198.82,277198.82,23000.28,21745.93
710,0.306640625,|,12053.814534807205,1.6733218359947204,1.0382741832733153,5.253240268230439,|,289294.99,289294.99,23614.53,22373.65
